Facility Name,Address,Phone,Type,Hours,Source
24/7 Medclinic,"Simmonds Street 2A, Johannesburg",+27 11 039 7748,Clinic,24/7,openalfa.com
Akeso Parktown Psychiatric Clinic,"Junction Avenue, Parktown",+27 87 098 0458,Psychiatric Clinic,,openalfa.com
Esselen Street Clinic,"Esselen Street 17, 2001 Hillbrow, Johannesburg",+27 11 725 6711,Clinic,,openalfa.com
Health Worx Cresta,"Weltevreden Road",, Clinic,Mon-Fri 07:00-18:00,openalfa.com
Witkoppen Health and Welfare Centre,"Winnie Mandela Drive",,Clinic,Mon-Fri 07:30-16:00,openalfa.com
Chris Hani Baragwanath Hospital,"Chris Hani Road 26, 1864 Johannesburg",+27 119330967,Hospital,24/7,openalfa.com
Helen Joseph Hospital,"Perth Road, Auckland Park",,Hospital,,openalfa.com
Netcare Sunninghill Hospital,"Witkoppen & Nanyuki Roads",,Hospital,24/7,openalfa.com
Nelson Mandela Children's Hospital,"Jubilee Road, Parktown",,Hospital,24/7,openalfa.com
Johannesburg Vision Institute,"Suite G08 North Block Medical Tower, Mediclinic Sandton, Peter Place, Bryanston 2191",+27 11 706 1234,Specialist Clinic,Mon-Fri 08:00-17:00,johannesburglists.com
JHB Eye Hospital,"Corner Beyers Naude Drive & Waugh Avenue, Northcliff 2195",+27 11 476 3111,Hospital,Mon-Fri 07:30-18:00,johannesburglists.com
Safesight Cataract & Eye Laser Centre,"Suite 202, 2nd Floor, Milpark Hospital, 9 Guild Road, Parktown 2193",+27 11 480 5600,Specialist Clinic,"Mon-Fri 08:00-16:00, Sat 09:00-13:00",johannesburglists.com
Witkoppen Clinic,"105 William Nicol Drive, Fourways 2055",+27 11 705 3188,Primary Healthcare Clinic,Mon-Fri 07:00-16:00,johannesburglists.com
Lister Clinic,"Corner Rahima Moosa & Small Street, Johannesburg 2001",+27 11 492 0000,Clinic,Daily 07:00-19:00,johannesburglists.com
